call_id,phone_number,receiver,starttimestamp,endtimestamp,direction
1,398-674-8292,237-547-1013,10/24/2017 13:05,10/24/2017 13:23,outgoing
2,237-547-1013,623-276-1104,7/16/2017 15:10,7/16/2017 15:10,missed call
3,623-276-1104,241-168-8259,3/16/2019 20:48,3/16/2019 21:16,outgoing
4,227-100-2967,398-674-8292,1/7/2017 12:10,1/7/2017 12:28,outgoing
5,818-167-3374,227-100-2967,1/14/2018 22:47,1/14/2018 22:47,missed call
6,985-935-9702,123-110-9250,1/16/2017 13:09,1/16/2017 13:09,missed call
7,237-547-1013,227-100-2967,8/25/2018 22:54,8/25/2018 22:54,missed call
8,123-110-9250,985-935-9702,2/27/2017 5:34,2/27/2017 6:19,incoming
9,598-737-7459,123-110-9250,4/4/2019 7:34,4/4/2019 7:50,outgoing
10,398-674-8292,241-168-8259,7/2/2018 18:57,7/2/2018 19:16,incoming
11,614-619-2896,818-167-3374,10/13/2017 19:43,10/13/2017 19:59,outgoing
12,623-276-1104,598-737-7459,5/4/2019 9:25,5/4/2019 9:57,incoming
13,614-619-2896,598-737-7459,2/28/2018 14:42,2/28/2018 14:53,outgoing
14,598-737-7459,241-168-8259,1/12/2018 4:59,1/12/2018 5:34,incoming
15,614-619-2896,227-100-2967,1/8/2017 2:40,1/8/2017 3:19,incoming
16,598-737-7459,398-674-8292,2/9/2017 20:38,2/9/2017 20:59,incoming
17,237-547-1013,123-110-9250,1/4/2017 1:19,1/4/2017 2:04,incoming
18,623-276-1104,241-168-8259,10/9/2018 8:00,10/9/2018 8:44,incoming
19,598-737-7459,985-935-9702,6/1/2017 14:46,6/1/2017 14:50,incoming
20,237-547-1013,241-168-8259,11/18/2017 9:13,11/18/2017 9:20,outgoing
21,985-935-9702,398-674-8292,4/2/2017 20:36,4/2/2017 20:36,missed call
22,123-110-9250,598-737-7459,1/2/2018 13:20,1/2/2018 13:27,incoming
23,623-276-1104,985-935-9702,6/9/2018 9:43,6/9/2018 9:43,missed call
24,985-935-9702,123-110-9250,11/28/2018 8:43,11/28/2018 8:45,incoming
