customer_id,first_name,last_name,email_id,gender,birthdate,street_address,zipcode,city,state,phone_number,active
1,Artair,Alibone,aalibone0@twitpic.com,Male,5/29/2004,3 Algoma Drive,29905,Beaufort,South Carolina,398-674-8292,TRUE
2,Hermina,Hargate,hhargate1@domainmarket.com,Female,1/4/1971,73 Erie Trail,71208,Monroe,Louisiana,598-737-7459,TRUE
3,Valeda,Wise,vwise2@nature.com,Female,11/13/1983,791 Hoepker Terrace,76598,Gatesville,Texas,623-276-1104,FALSE
4,Kristopher,Sea,ksea3@macromedia.com,Male,2/1/1952,275 Porter Parkway,95838,Sacramento,California,985-935-9702,TRUE
5,Odella,Dady,odady4@purevolume.com,Female,9/6/1944,7 Ludington Park,46699,South Bend,Indiana,241-168-8259,TRUE
6,Seth,Lethibridge,slethibridge5@narod.ru,Male,9/6/1991,0635 Straubel Circle,35220,Birmingham,Alabama,237-547-1013,TRUE
7,Cam,Meace,cmeace6@fotki.com,Male,9/11/1967,70 Pennsylvania Junction,45505,Springfield,Ohio,123-110-9250,FALSE
8,Sadye,Duffan,sduffan7@stanford.edu,Female,9/12/1944,3 Norway Maple Terrace,27717,Durham,North Carolina,614-619-2896,TRUE
9,Ricki,Seton,rseton8@reverbnation.com,Male,3/30/2006,218 Southridge Crossing,40546,Lexington,Kentucky,227-100-2967,TRUE
10,Reider,Inold,rinold9@techcrunch.com,Male,11/8/2009,32148 Melody Point,61825,Champaign,Illinois,818-167-3374,TRUE
11,Drugi,Gallahar,dgallahara@prlog.org,Male,6/7/1953,683 Montana Court,44485,Warren,Ohio,335-702-9515,TRUE
12,Doe,Tooke,dtookeb@t-online.de,Female,5/27/2000,44875 Mcguire Crossing,36628,Mobile,Alabama,143-531-4623,FALSE
13,Marion,Izat,mizatc@mozilla.org,Male,8/10/2006,09808 Susan Crossing,19184,Philadelphia,Pennsylvania,306-378-4644,TRUE
14,Ashla,McCloid,amccloidd@ox.ac.uk,Female,3/21/1996,15567 Jay Place,23454,Virginia Beach,Virginia,846-756-5396,TRUE
15,Dniren,Franklen,dfranklene@nps.gov,Female,6/26/1958,6454 Amoth Alley,20205,Washington,District of Columbia,221-352-4993,TRUE
16,Penn,Arrigucci,parriguccif@themeforest.net,Male,3/12/1988,91 Kropf Park,99507,Anchorage,Alaska,965-184-6491,TRUE
17,Stephie,Stenners,sstennersg@rambler.ru,Female,1/15/2004,374 Lotheville Road,16107,New Castle,Pennsylvania,194-638-8390,FALSE
18,Merilyn,Gowans,mgowansh@senate.gov,Female,1/30/2006,5 Badeau Avenue,55811,Duluth,Minnesota,232-739-6412,FALSE
19,Otho,Kennelly,okennellyi@over-blog.com,Male,11/21/1963,17188 Heffernan Way,96845,Honolulu,Hawaii,593-792-6975,TRUE
20,Guthrey,Connal,gconnalj@usgs.gov,Male,1/9/1952,9 Burrows Road,68134,Omaha,Nebraska,576-444-8440,TRUE
21,Edy,Walshaw,ewalshawk@twitpic.com,Female,8/4/1979,1963 Bunker Hill Alley,38109,Memphis,Tennessee,897-101-5964,TRUE
22,Vladamir,Klosges,vklosgesl@patch.com,Male,6/2/1962,46 Kingsford Street,92844,Garden Grove,California,802-596-7910,TRUE
23,Rouvin,Leitch,rleitchm@over-blog.com,Male,3/15/1980,728 Thackeray Junction,39210,Jackson,Mississippi,689-608-1743,TRUE
24,Emmett,Delos,edelosn@creativecommons.org,Male,12/17/1997,054 Heffernan Crossing,78744,Austin,Texas,533-355-4316,TRUE
25,Mathilda,Benois,mbenoiso@reverbnation.com,Female,10/24/1977,57 Crownhardt Pass,33436,Boynton Beach,Florida,876-406-5867,TRUE
26,Bary,Atcherley,batcherleyp@meetup.com,Male,6/20/2005,8393 Debra Lane,11447,Jamaica,New York,797-683-8500,FALSE
27,Serge,Caskey,scaskeyq@nsw.gov.au,Male,4/13/1977,411 Hoard Road,33158,Miami,Florida,422-733-0037,TRUE
28,Patten,Anscombe,panscomber@comsenz.com,Male,6/15/1947,7680 Dakota Circle,99205,Spokane,Washington,320-924-6906,TRUE
29,Rudolf,Farron,rfarrons@naver.com,Male,1/29/1976,44895 Fulton Center,33805,Lakeland,Florida,209-935-3693,TRUE
30,Gwendolen,Mersh,gmersht@mozilla.org,Female,10/4/2000,95386 Mcguire Terrace,40515,Lexington,Kentucky,825-843-6648,TRUE
31,Raoul,Bothen,rbothenu@addtoany.com,Male,12/16/1990,5040 Caliangt Circle,35805,Huntsville,Alabama,757-336-8759,TRUE
32,Jacinda,Merwede,jmerwedev@sina.com.cn,Female,6/1/1972,0 Riverside Plaza,55423,Minneapolis,Minnesota,957-659-2812,TRUE
33,Peria,Phlipon,pphliponw@csmonitor.com,Female,2/19/2006,9 Maple Pass,60208,Evanston,Illinois,381-589-4551,TRUE
34,Dimitry,Davey,ddaveyx@skyrock.com,Male,6/9/1961,100 Magdeline Circle,34276,Sarasota,Florida,426-342-4940,TRUE
35,Waldemar,Naldrett,wnaldretty@constantcontact.com,Male,9/19/2008,5177 Farragut Crossing,61709,Bloomington,Illinois,437-443-4548,FALSE
36,Randy,Dalli,rdalliz@meetup.com,Male,9/2/1975,625 Scott Point,2216,Boston,Massachusetts,931-318-8690,TRUE
37,Diandra,Alliot,dalliot10@whitehouse.gov,Female,12/9/1946,4 Steensland Alley,95160,San Jose,California,424-338-1888,TRUE
38,Estele,Soars,esoars11@tinyurl.com,Female,7/26/1977,76394 Green Ridge Alley,30195,Duluth,Georgia,899-184-9861,TRUE
39,Davine,Pimer,dpimer12@webeden.co.uk,Female,4/2/2008,38821 Onsgard Trail,73157,Oklahoma City,Oklahoma,675-142-2320,TRUE
40,Arron,Dodwell,adodwell13@admin.ch,Male,5/22/1951,1539 Forest Dale Lane,83206,Pocatello,Idaho,399-798-9107,TRUE
41,Maribel,Dews,mdews14@alibaba.com,Female,3/28/1992,872 Del Sol Trail,19805,Wilmington,Delaware,797-327-4834,TRUE
42,Catherine,Skaid,cskaid15@geocities.jp,Female,10/19/1940,313 Kinsman Center,80045,Aurora,Colorado,527-692-9334,FALSE
43,Chevy,Johnes,cjohnes16@hexun.com,Male,10/11/1981,8 Rutledge Avenue,35487,Tuscaloosa,Alabama,844-626-7152,TRUE
44,Dewitt,Sabater,dsabater17@sciencedaily.com,Male,7/12/1947,7 Talmadge Pass,90045,Los Angeles,California,690-105-8381,TRUE
45,Shanie,Selwyn,sselwyn18@amazon.co.jp,Female,3/4/1957,5584 Union Terrace,85053,Phoenix,Arizona,126-285-8913,TRUE
46,Hort,McCarroll,hmccarroll19@unblog.fr,Male,11/8/2007,3 Pennsylvania Alley,28284,Charlotte,North Carolina,410-685-9374,TRUE
47,Micheline,Dodding,mdodding1a@amazon.de,Female,4/7/1974,8 Bunting Place,47712,Evansville,Indiana,266-359-0293,FALSE
48,Leone,Catlow,lcatlow1b@icio.us,Female,5/5/1944,87650 Northfield Terrace,95405,Santa Rosa,California,102-962-5125,TRUE
49,Del,Dilawey,ddilawey1c@google.ca,Female,8/3/1988,6191 Esker Pass,35231,Birmingham,Alabama,353-760-5645,TRUE
50,Kylen,O'Hanley,kohanley1d@admin.ch,Female,10/12/1991,612 Lillian Court,85720,Tucson,Arizona,725-415-6951,TRUE
51,Amandi,Stork,astork1e@reverbnation.com,Female,9/26/1998,3247 Columbus Center,92710,Irvine,California,216-732-0449,TRUE
52,Wye,Radolf,wradolf1f@hibu.com,Male,10/13/2001,5987 Bunker Hill Road,32309,Tallahassee,Florida,396-909-1708,TRUE
53,Dacia,Douce,ddouce1g@edublogs.org,Female,6/29/2008,9 Claremont Place,48295,Detroit,Michigan,990-255-2170,TRUE
54,Homer,Millimoe,hmillimoe1h@cnbc.com,Male,12/21/1956,1 Carey Road,31136,Atlanta,Georgia,939-704-5084,TRUE
55,Lazare,Keningham,lkeningham1i@xinhuanet.com,Male,2/14/2007,1027 Debs Place,64109,Kansas City,Missouri,148-346-8847,TRUE
56,Salome,Harradine,sharradine1j@vistaprint.com,Female,8/4/1958,93 Lake View Alley,40225,Louisville,Kentucky,947-601-2803,TRUE
