customer_id,first_name,last_name,email_id,gender,birthdate,street_address,zipcode,city,state,phone_number,active
1,Artair,Alibone,aalibone0@twitpic.com,Male,5/29/2004,3 Algoma Drive,29905,Beaufort,South Carolina,398-674-8292,TRUE
2,Hermina,Hargate,hhargate1@domainmarket.com,Female,4/1/1971,73 Erie Trail,71208,Monroe,Louisiana,598-737-7459,TRUE
3,Valeda,Wise,vwise2@nature.com,Female,11/13/1983,791 Hoepker Terrace,76598,Gatesville,Texas,623-276-1104,FALSE
4,Kristopher,Sea,ksea3@macromedia.com,Male,1/2/1952,275 Porter Parkway,95838,Sacramento,California,985-935-9702,TRUE
5,Odella,Dady,odady4@purevolume.com,Female,6/9/1944,7 Ludington Park,46699,South Bend,Indiana,241-168-8259,TRUE
6,Seth,Lethibridge,slethibridge5@narod.ru,Male,6/9/1991,0635 Straubel Circle,35220,Birmingham,Alabama,237-547-1013,TRUE
7,Cam,Meace,cmeace6@fotki.com,Male,11/9/1967,70 Pennsylvania Junction,45505,Springfield,Ohio,123-110-9250,FALSE
8,Sadye,Duffan,sduffan7@stanford.edu,Female,12/9/1944,3 Norway Maple Terrace,27717,Durham,North Carolina,614-619-2896,TRUE
9,Ricki,Seton,rseton8@reverbnation.com,Male,3/30/2006,218 Southridge Crossing,40546,Lexington,Kentucky,227-100-2967,TRUE
10,Reider,Inold,rinold9@techcrunch.com,Male,8/11/2009,32148 Melody Point,61825,Champaign,Illinois,818-167-3374,TRUE
11,Drugi,Gallahar,dgallahara@prlog.org,Male,7/6/1953,683 Montana Court,44485,Warren,Ohio,335-702-9515,TRUE
12,Doe,Tooke,dtookeb@t-online.de,Female,5/27/2000,44875 Mcguire Crossing,36628,Mobile,Alabama,143-531-4623,FALSE
13,Marion,Izat,mizatc@mozilla.org,Male,10/8/2006,09808 Susan Crossing,19184,Philadelphia,Pennsylvania,306-378-4644,TRUE
14,Ashla,McCloid,amccloidd@ox.ac.uk,Female,3/21/1996,15567 Jay Place,23454,Virginia Beach,Virginia,846-756-5396,TRUE
15,Dniren,Franklen,dfranklene@nps.gov,Female,6/26/1958,6454 Amoth Alley,20205,Washington,District of Columbia,221-352-4993,TRUE
