id,first_name,last_name,gender,birthdate,zipcode,city,state,active,region,connection_type,average_call_length,age
10001,Gayle,Spinelli,Male,2/10/1984,98175,Seattle,Washington,FALSE,PacificCoastal,new,48.35,35
10002,Annis,Hedon,Female,5/29/1961,46226,Indianapolis,Indiana,TRUE,Midwest,new,12.86,58
10003,Em,Seagrove,Female,6/30/1973,98158,Seattle,Washington,TRUE,PacificCoastal,new,51.48,46
10004,Imogene,Portman,Female,1/12/1955,77288,Houston,Texas,FALSE,Southwest,new,20.21,64
10005,Dallon,Devote,Male,9/4/1971,78783,Austin,Texas,TRUE,Southwest,new,17.23,47
10006,Cleveland,Groveham,Male,2/19/1972,80209,Denver,Colorado,FALSE,RockyMountain,ported,22.28,47
10007,Giselbert,Perroni,Male,9/25/2005,76096,Arlington,Texas,FALSE,Southwest,new,49.07,13
10008,Keslie,Denerley,Female,10/17/2002,20041,Washington,District of Columbia,TRUE,Southern,new,14.61,16
10009,Arnuad,Biddy,Male,7/20/1958,19120,Philadelphia,Pennsylvania,TRUE,Mid-atlantic,ported,22.11,61
10010,Forbes,Kilfether,Male,12/8/2006,8695,Trenton,New Jersey,TRUE,Mid-atlantic,ported,25.43,12
10011,Agnesse,McPhater,Female,2/9/1995,60567,Naperville,Illinois,TRUE,Midwest,new,35.39,24
10012,Chrissy,Yukhnin,Male,10/17/1968,83732,Boise,Idaho,TRUE,RockyMountain,new,27.94,50
10013,Babita,Pashe,Female,6/13/1981,46634,South Bend,Indiana,TRUE,Midwest,new,48.22,38
10014,Darla,Tippetts,Female,5/17/1957,27110,Winston Salem,North Carolina,TRUE,Southern,new,58.35,62
10015,Menard,Santostefano.,Male,11/25/1982,55166,Saint Paul,Minnesota,TRUE,Midwest,new,14.42,36
10016,Ethelyn,Dungate,Female,7/22/1995,56372,Saint Cloud,Minnesota,FALSE,Midwest,new,30.74,24
10017,Isacco,Aleksidze,Male,7/19/1979,62756,Springfield,Illinois,TRUE,Midwest,ported,52.47,40
10018,Alane,Common,Female,10/19/1983,46896,Fort Wayne,Indiana,TRUE,Midwest,new,12.14,35
