id,first_name,last_name,gender,birthdate,zipcode,city,state,active,region,connection_type,average_call_length,age,app,MB used,personas
10001,Gayle,Spinelli,1,2/10/1984,98175,Seattle,Washington,0,3,0,48.35,35,7,784.2,Matt
10001,Gayle,Spinelli,1,2/10/1984,98175,Seattle,Washington,0,3,0,48.35,35,15,250.97,Jason
10001,Gayle,Spinelli,1,2/10/1984,98175,Seattle,Washington,0,3,0,48.35,35,0,328.09,Andrew
10001,Gayle,Spinelli,1,2/10/1984,98175,Seattle,Washington,0,3,0,48.35,35,12,358.73,Andrew
10001,Gayle,Spinelli,1,2/10/1984,98175,Seattle,Washington,0,3,0,48.35,35,10,235.42,Jason
10002,Annis,Hedon,0,5/29/1961,46226,Indianapolis,Indiana,1,1,0,12.86,58,0,484.03,Gina
10002,Annis,Hedon,0,5/29/1961,46226,Indianapolis,Indiana,1,1,0,12.86,58,11,676.17,Gina
10002,Annis,Hedon,0,5/29/1961,46226,Indianapolis,Indiana,1,1,0,12.86,58,13,451.37,Erica
10002,Annis,Hedon,0,5/29/1961,46226,Indianapolis,Indiana,1,1,0,12.86,58,7,123.15,Jessica
10003,Em,Seagrove,0,6/30/1973,98158,Seattle,Washington,1,3,0,51.48,46,11,743.96,Tiffany
10003,Em,Seagrove,0,6/30/1973,98158,Seattle,Washington,1,3,0,51.48,46,5,891.71,Tiffany
10003,Em,Seagrove,0,6/30/1973,98158,Seattle,Washington,1,3,0,51.48,46,0,727.89,Tiffany
10004,Imogene,Portman,0,1/12/1955,77288,Houston,Texas,0,6,0,20.21,64,6,718.45,Tiffany
10004,Imogene,Portman,0,1/12/1955,77288,Houston,Texas,0,6,0,20.21,64,15,716.02,Tiffany
10004,Imogene,Portman,0,1/12/1955,77288,Houston,Texas,0,6,0,20.21,64,17,248.62,Jessica
10004,Imogene,Portman,0,1/12/1955,77288,Houston,Texas,0,6,0,20.21,64,7,333.76,Erica
10004,Imogene,Portman,0,1/12/1955,77288,Houston,Texas,0,6,0,20.21,64,16,634.92,Gina
10005,Dallon,Devote,1,9/4/1971,78783,Austin,Texas,1,6,0,17.23,47,0,416.4,Andrew
10005,Dallon,Devote,1,9/4/1971,78783,Austin,Texas,1,6,0,17.23,47,6,696.57,Matt
10006,Cleveland,Groveham,1,2/19/1972,80209,Denver,Colorado,0,4,1,22.28,47,1,759.61,Matt
10006,Cleveland,Groveham,1,2/19/1972,80209,Denver,Colorado,0,4,1,22.28,47,17,751.82,Matt
10006,Cleveland,Groveham,1,2/19/1972,80209,Denver,Colorado,0,4,1,22.28,47,7,720.98,Matt
10007,Giselbert,Perroni,1,9/25/2005,76096,Arlington,Texas,0,6,0,49.07,13,0,266.31,Andrew
10007,Giselbert,Perroni,1,9/25/2005,76096,Arlington,Texas,0,6,0,49.07,13,8,220.55,Jason
10007,Giselbert,Perroni,1,9/25/2005,76096,Arlington,Texas,0,6,0,49.07,13,11,343.47,Andrew
10007,Giselbert,Perroni,1,9/25/2005,76096,Arlington,Texas,0,6,0,49.07,13,2,770.62,Matt
10008,Keslie,Denerley,0,10/17/2002,20041,Washington,District of Columbia,1,5,0,14.61,16,2,474.2629288,Erica
10009,Arnuad,Biddy,1,7/20/1958,19120,Philadelphia,Pennsylvania,1,0,1,22.11,61,5,607.96,David
10009,Arnuad,Biddy,1,7/20/1958,19120,Philadelphia,Pennsylvania,1,0,1,22.11,61,3,675.11,David
10009,Arnuad,Biddy,1,7/20/1958,19120,Philadelphia,Pennsylvania,1,0,1,22.11,61,7,145.19,Jason
10009,Arnuad,Biddy,1,7/20/1958,19120,Philadelphia,Pennsylvania,1,0,1,22.11,61,13,519.56,David
10009,Arnuad,Biddy,1,7/20/1958,19120,Philadelphia,Pennsylvania,1,0,1,22.11,61,17,400.05,Andrew
10010,Forbes,Kilfether,1,12/8/2006,8695,Trenton,New Jersey,1,0,1,25.43,12,13,122.06,Jason
10010,Forbes,Kilfether,1,12/8/2006,8695,Trenton,New Jersey,1,0,1,25.43,12,14,499.91,David
10010,Forbes,Kilfether,1,12/8/2006,8695,Trenton,New Jersey,1,0,1,25.43,12,16,97.82,Jason
10010,Forbes,Kilfether,1,12/8/2006,8695,Trenton,New Jersey,1,0,1,25.43,12,1,223.88,Jason
10011,Agnesse,McPhater,0,2/9/1995,60567,Naperville,Illinois,1,1,0,35.39,24,8,248.45,Jessica
10011,Agnesse,McPhater,0,2/9/1995,60567,Naperville,Illinois,1,1,0,35.39,24,2,242.02,Jessica
10012,Chrissy,Yukhnin,1,10/17/1968,83732,Boise,Idaho,1,4,0,27.94,50,2,474.2629288,Andrew
10013,Babita,Pashe,0,6/13/1981,46634,South Bend,Indiana,1,1,0,48.22,38,8,733.27,Tiffany
10013,Babita,Pashe,0,6/13/1981,46634,South Bend,Indiana,1,1,0,48.22,38,12,386.3,Erica
10013,Babita,Pashe,0,6/13/1981,46634,South Bend,Indiana,1,1,0,48.22,38,5,540.08,Gina
10013,Babita,Pashe,0,6/13/1981,46634,South Bend,Indiana,1,1,0,48.22,38,3,736.67,Tiffany
10013,Babita,Pashe,0,6/13/1981,46634,South Bend,Indiana,1,1,0,48.22,38,1,114.61,Jessica
10014,Darla,Tippetts,0,5/17/1957,27110,Winston Salem,North Carolina,1,5,0,58.35,62,15,97.01,Jessica
10014,Darla,Tippetts,0,5/17/1957,27110,Winston Salem,North Carolina,1,5,0,58.35,62,5,59.86,Jessica
10014,Darla,Tippetts,0,5/17/1957,27110,Winston Salem,North Carolina,1,5,0,58.35,62,2,238.61,Jessica
10014,Darla,Tippetts,0,5/17/1957,27110,Winston Salem,North Carolina,1,5,0,58.35,62,9,574.7,Gina
10014,Darla,Tippetts,0,5/17/1957,27110,Winston Salem,North Carolina,1,5,0,58.35,62,4,589.73,Gina
10014,Darla,Tippetts,0,5/17/1957,27110,Winston Salem,North Carolina,1,5,0,58.35,62,10,347.24,Erica
10015,Menard,Santostefano.,1,11/25/1982,55166,Saint Paul,Minnesota,1,1,0,14.42,36,2,349.81,Andrew
10015,Menard,Santostefano.,1,11/25/1982,55166,Saint Paul,Minnesota,1,1,0,14.42,36,8,155.03,Jason
10015,Menard,Santostefano.,1,11/25/1982,55166,Saint Paul,Minnesota,1,1,0,14.42,36,16,565.63,David
10015,Menard,Santostefano.,1,11/25/1982,55166,Saint Paul,Minnesota,1,1,0,14.42,36,13,495.02,David
10016,Ethelyn,Dungate,0,7/22/1995,56372,Saint Cloud,Minnesota,0,1,0,30.74,24,10,887.02,Tiffany
10016,Ethelyn,Dungate,0,7/22/1995,56372,Saint Cloud,Minnesota,0,1,0,30.74,24,9,178.87,Jessica
10016,Ethelyn,Dungate,0,7/22/1995,56372,Saint Cloud,Minnesota,0,1,0,30.74,24,6,742.36,Tiffany
10016,Ethelyn,Dungate,0,7/22/1995,56372,Saint Cloud,Minnesota,0,1,0,30.74,24,13,805.06,Tiffany
10016,Ethelyn,Dungate,0,7/22/1995,56372,Saint Cloud,Minnesota,0,1,0,30.74,24,1,315.71,Erica
10017,Isacco,Aleksidze,1,7/19/1979,62756,Springfield,Illinois,1,1,1,52.47,40,14,690.24,David
10017,Isacco,Aleksidze,1,7/19/1979,62756,Springfield,Illinois,1,1,1,52.47,40,7,798.77,Matt
10017,Isacco,Aleksidze,1,7/19/1979,62756,Springfield,Illinois,1,1,1,52.47,40,13,439.52,Andrew
10018,Alane,Common,0,10/19/1983,46896,Fort Wayne,Indiana,1,1,0,12.14,35,0,247.58,Jessica
10018,Alane,Common,0,10/19/1983,46896,Fort Wayne,Indiana,1,1,0,12.14,35,12,635.07,Gina
10018,Alane,Common,0,10/19/1983,46896,Fort Wayne,Indiana,1,1,0,12.14,35,10,365.15,Erica
10018,Alane,Common,0,10/19/1983,46896,Fort Wayne,Indiana,1,1,0,12.14,35,2,398.35,Erica
10019,Hal,Coward,1,12/4/2000,29305,Spartanburg,South Carolina,0,5,1,33.27,18,12,584.92,David
10019,Hal,Coward,1,12/4/2000,29305,Spartanburg,South Carolina,0,5,1,33.27,18,11,196.28,Jason
10019,Hal,Coward,1,12/4/2000,29305,Spartanburg,South Carolina,0,5,1,33.27,18,8,579.03,David
10019,Hal,Coward,1,12/4/2000,29305,Spartanburg,South Carolina,0,5,1,33.27,18,14,658.91,David
10019,Hal,Coward,1,12/4/2000,29305,Spartanburg,South Carolina,0,5,1,33.27,18,3,588.2,David
10019,Hal,Coward,1,12/4/2000,29305,Spartanburg,South Carolina,0,5,1,33.27,18,13,232.46,Jason
10020,Regine,Llewellyn,0,3/10/1955,90610,Whittier,California,1,3,1,51.62,64,17,801.23,Tiffany
