id,phone_number,receiver,starttimestamp,endtimestamp,call_length,direction
1,985-935-9702,241-168-8259,10/24/2017 13:05,10/24/2017 13:23,0:17:50,outgoing
2,241-168-8259,227-100-2967,7/16/2017 15:10,7/16/2017 15:10,0:00:00,missed call
3,614-619-2896,241-168-8259,3/16/2019 20:48,3/16/2019 21:16,0:27:41,outgoing
4,398-674-8292,614-619-2896,1/7/2017 12:10,1/7/2017 12:28,0:18:13,outgoing
5,241-168-8259,227-100-2967,1/14/2018 22:47,1/14/2018 22:47,0:00:00,missed call
6,598-737-7459,398-674-8292,1/16/2017 13:09,1/16/2017 13:09,0:00:00,missed call
7,227-100-2967,398-674-8292,8/25/2018 22:54,8/25/2018 22:54,0:00:00,missed call
8,598-737-7459,335-702-9515,2/27/2017 5:34,2/27/2017 6:19,0:45:07,incoming
9,398-674-8292,306-378-4644,4/4/2019 7:34,4/4/2019 7:50,0:16:11,outgoing
10,241-168-8259,818-167-3374,7/2/2018 18:57,7/2/2018 19:16,0:19:08,incoming
11,985-935-9702,818-167-3374,10/13/2017 19:43,10/13/2017 19:59,0:15:01,outgoing
12,227-100-2967,398-674-8292,5/4/2019 9:25,5/4/2019 9:57,0:32:21,incoming
13,598-737-7459,241-168-8259,2/28/2018 14:42,2/28/2018 14:53,0:10:38,outgoing
14,598-737-7459,818-167-3374,1/12/2018 4:59,1/12/2018 5:34,0:34:35,incoming
15,237-547-1013,241-168-8259,1/8/2017 2:40,1/8/2017 3:19,0:39:09,incoming
16,227-100-2967,241-168-8259,2/9/2017 20:38,2/9/2017 20:59,0:21:30,incoming
17,598-737-7459,985-935-9702,1/4/2017 1:19,1/4/2017 2:04,0:44:52,incoming
18,335-702-9515,237-547-1013,10/9/2018 8:00,10/9/2018 8:44,0:44:15,incoming
19,985-935-9702,335-702-9515,6/1/2017 14:46,6/1/2017 14:50,0:03:34,incoming
20,237-547-1013,985-935-9702,11/18/2017 9:13,11/18/2017 9:20,0:06:15,outgoing
21,614-619-2896,598-737-7459,4/2/2017 20:36,4/2/2017 20:36,0:00:00,missed call
22,335-702-9515,237-547-1013,1/2/2018 13:20,1/2/2018 13:27,0:06:42,incoming
23,241-168-8259,227-100-2967,6/9/2018 9:43,6/9/2018 9:43,0:00:00,missed call
24,227-100-2967,335-702-9515,11/28/2018 8:43,11/28/2018 8:45,0:02:07,incoming
25,818-167-3374,227-100-2967,5/20/2018 5:51,5/20/2018 6:50,0:59:29,incoming
26,614-619-2896,398-674-8292,9/1/2017 14:34,9/1/2017 15:11,0:37:29,incoming
27,985-935-9702,237-547-1013,8/24/2018 18:25,8/24/2018 19:00,0:34:51,outgoing
28,241-168-8259,237-547-1013,4/9/2018 6:48,4/9/2018 6:48,0:00:00,missed call
29,614-619-2896,598-737-7459,4/26/2019 16:56,4/26/2019 17:36,0:40:53,incoming
30,985-935-9702,398-674-8292,6/29/2018 10:03,6/29/2018 10:08,0:05:33,incoming
31,227-100-2967,306-378-4644,3/17/2018 4:37,3/17/2018 4:37,0:00:00,missed call
32,398-674-8292,227-100-2967,4/7/2018 4:50,4/7/2018 4:56,0:05:30,outgoing
33,598-737-7459,227-100-2967,3/30/2018 0:13,3/30/2018 0:31,0:17:44,incoming
34,398-674-8292,237-547-1013,3/1/2017 0:08,3/1/2017 0:53,0:45:00,outgoing
35,398-674-8292,985-935-9702,6/2/2017 9:33,6/2/2017 9:33,0:00:00,missed call
36,227-100-2967,306-378-4644,11/8/2018 4:14,11/8/2018 4:16,0:02:07,incoming
37,398-674-8292,306-378-4644,1/19/2017 2:09,1/19/2017 2:53,0:44:14,outgoing
38,598-737-7459,241-168-8259,8/16/2017 16:17,8/16/2017 16:32,0:15:35,outgoing
39,227-100-2967,818-167-3374,2/12/2017 13:14,2/12/2017 13:14,0:00:00,missed call
40,227-100-2967,398-674-8292,1/9/2019 10:00,1/9/2019 10:00,0:00:00,missed call
41,335-702-9515,241-168-8259,2/5/2019 11:31,2/5/2019 11:31,0:00:00,missed call
42,241-168-8259,306-378-4644,8/7/2018 21:17,8/7/2018 21:17,0:00:00,missed call
43,241-168-8259,818-167-3374,6/17/2018 10:11,6/17/2018 10:58,0:47:06,outgoing
44,306-378-4644,614-619-2896,2/1/2019 12:35,2/1/2019 12:35,0:00:00,missed call
45,598-737-7459,985-935-9702,3/31/2019 9:31,3/31/2019 10:11,0:40:29,incoming
46,306-378-4644,614-619-2896,1/20/2018 7:55,1/20/2018 8:21,0:25:43,outgoing
47,398-674-8292,241-168-8259,11/16/2018 21:44,11/16/2018 22:24,0:39:51,incoming
48,335-702-9515,614-619-2896,3/28/2018 18:50,3/28/2018 18:50,0:00:00,missed call
49,227-100-2967,398-674-8292,2/3/2018 23:57,2/4/2018 0:18,0:20:45,outgoing
50,227-100-2967,237-547-1013,3/17/2019 5:23,3/17/2019 5:23,0:00:00,missed call
