id,first_name,last_name,email_id
1,Eustace,McCoid,sawant.prat@husky.neu.edu
2,Isador,Maestro,sawant.prat@husky.neu.edu
3,Irv,Gaskins,sawant.prat@husky.neu.edu
4,Bengt,Serot,sawant.prat@husky.neu.edu
5,Darrel,Brennon,sawant.prat@husky.neu.edu
6,Cairistiona,Ricoald,sawant.prat@husky.neu.edu
7,Susy,Van Vuren,sawant.prat@husky.neu.edu
8,Mirabelle,O' Molan,sawant.prat@husky.neu.edu
9,Hilarius,Lamberti,sawant.prat@husky.neu.edu
10,Deirdre,MacCambridge,sawant.prat@husky.neu.edu
11,Glenna,Archbould,sawant.prat@husky.neu.edu
12,Maren,Pietrowski,sawant.prat@husky.neu.edu
13,Skipper,Fettis,sawant.prat@husky.neu.edu
14,Stillmann,Venus,sawant.prat@husky.neu.edu
15,Sidney,O'Loughlin,sawant.prat@husky.neu.edu
16,Wilma,Wigley,sawant.prat@husky.neu.edu
17,Ann-marie,Fairburne,sawant.prat@husky.neu.edu
18,Celka,Berriman,sawant.prat@husky.neu.edu
19,Yetta,Lascelles,sawant.prat@husky.neu.edu
20,Jocelyne,Van Niekerk,sawant.prat@husky.neu.edu
21,Brig,Doran,sawant.prat@husky.neu.edu
22,Serena,Gatherell,sawant.prat@husky.neu.edu
23,Jenna,Goulbourn,sawant.prat@husky.neu.edu
24,Andrej,Christofle,sawant.prat@husky.neu.edu
25,Clemens,Duddy,sawant.prat@husky.neu.edu
26,Patrica,Kubalek,sawant.prat@husky.neu.edu
27,Amie,Rickcord,sawant.prat@husky.neu.edu
28,Myrilla,Scarrott,sawant.prat@husky.neu.edu
29,Horton,Impy,sawant.prat@husky.neu.edu
30,Georg,Brigden,sawant.prat@husky.neu.edu
31,Cam,Laverenz,sawant.prat@husky.neu.edu
32,Rennie,Roofe,sawant.prat@husky.neu.edu
33,Angelita,Lopes,sawant.prat@husky.neu.edu
34,Richard,Milius,sawant.prat@husky.neu.edu
35,Grissel,McGuane,sawant.prat@husky.neu.edu
36,Rodney,Totterdell,sawant.prat@husky.neu.edu
37,Shayne,Durtnell,sawant.prat@husky.neu.edu
38,Cooper,Wehnerr,sawant.prat@husky.neu.edu
39,Kristin,Arkil,sawant.prat@husky.neu.edu
40,Cordi,Whoolehan,sawant.prat@husky.neu.edu
41,Andrea,Cruden,sawant.prat@husky.neu.edu
42,Kristal,Mallabar,sawant.prat@husky.neu.edu
43,Franny,Bloor,sawant.prat@husky.neu.edu
44,Vince,Randales,sawant.prat@husky.neu.edu
45,Amil,Casterton,sawant.prat@husky.neu.edu
46,Victoria,Horney,sawant.prat@husky.neu.edu
47,Jenda,Willgrass,sawant.prat@husky.neu.edu
48,Stephenie,Topley,sawant.prat@husky.neu.edu
49,Alyssa,Dugue,sawant.prat@husky.neu.edu
